"","ColdCorals_All_MPA","ColdCorals","CoralReefs_All_MPA","CoralReefs","KnollSeamounts_All_MPA","KnollSeamounts","mangroves_All_MPA","mangroves","Saltmarshes_All_MPA","Saltmarshes","Seagrasses_All_MPA","Seagrasses","ColdCorals_All_MPA_with_PS_mpashabitat","ColdCorals_PS_MPA","CoralReefs_All_MPA_with_PS_mpashabitat","CoralReefs_PS_MPA","KnollSeamounts_All_MPA_with_PS_mpashabitat","KnollSeamounts_PS_MPA","mangroves_All_MPA_with_PS_mpashabitat","mangroves_PS_MPA","Saltmarshes_All_MPA_with_PS_mpashabitat","Saltmarshes_PS_MPA","Seagrasses_All_MPA_with_PS_mpashabitat","Seagrasses_PS_MPA"
"265",0,0,0,0,72545.6328125,414673.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",0,0,0,0,20718.375,206991.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",0,0,0,0,54833.96875,395454.65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,2204.66137695312,28526.431640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",0,0,0,0,35906.7578125,117591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",1229,1429.77880859375,0,0,110973.375,421194.46875,0,0,845.897338867188,881.872314453125,966,1233,0,0,0,0,0,0,0,0,0,0,46,46
"271",1,1,254,254,652.336730957031,652.336730957031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274",0,3,0,0,0,5718.15869140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275",4,4,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",53.003345489502,174.583206176758,0,0,57378.55859375,336381.125,0,0,423,445,2184.48413085938,4264.48388671875,0,0,0,0,276,276,0,0,91,91,80,80
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278",0,0,0,0,1905.60241699219,7992.80419921875,0,0,3.35582828521729,3.60623598098755,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"279",0,5,54,278,3680.34790039062,320684.84375,1,1,2.02296781539917,2.02296781539917,3,16,0,0,0,0,0,0,0,0,0,0,0,0
"280",0,0,0,0,237.544036865234,237.544036865234,0,0,0,0,0.97791188955307,1.97791194915771,0,0,0,0,0,0,0,0,0,0,0.97791188955307,0.97791188955307
"281",0,0,0,0,565.888854980469,7823.27197265625,0,0,2.00505590438843,19.4040699005127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284",0,0,0,0,0,1305.91345214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287",0,0,0,0,5652.10986328125,39613.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",0,0,0,0,5107.701171875,16768.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",0,0,0,0,4428.61669921875,17846.095703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",0,0,0,0,0,0.566205501556396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",105,289.099212646484,27402.1171875,31676.57421875,1338056.625,4368711,4876,9941,4229,13235,17133,42089,3,3,8109,8109,210837.859375,210837.859375,3,3,1,1,1614,1614
"294",0,0,0,38.8226470947266,0,0,0,113,0,0,0,61.0862007141113,0,0,0,0,0,0,0,0,0,0,0,0
"295",0,0,0,0,5545.60791015625,150333.484375,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
